Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,2025-08-01 00:00:00,Unnamed: 24,2025-08-02 00:00:00,Unnamed: 26,2025-08-03 00:00:00,Unnamed: 28,2025-08-04 00:00:00,Unnamed: 30,2025-08-05 00:00:00,Unnamed: 32,2025-08-06 00:00:00,Unnamed: 34,2025-08-07 00:00:00,Unnamed: 36,2025-08-08 00:00:00,Unnamed: 38,2025-08-09 00:00:00,Unnamed: 40,2025-08-10 00:00:00,Unnamed: 42,2025-08-11 00:00:00,Unnamed: 44,2025-08-12 00:00:00,Unnamed: 46,2025-08-13 00:00:00,Unnamed: 48,2025-08-14 00:00:00,Unnamed: 50,2025-08-15 00:00:00,Unnamed: 52,2025-08-16 00:00:00,Unnamed: 54,2025-08-17 00:00:00,Unnamed: 56,2025-08-18 00:00:00,Unnamed: 58,2025-08-19 00:00:00,Unnamed: 60,2025-08-20 00:00:00,Unnamed: 62,2025-08-21 00:00:00,Unnamed: 64,2025-08-22 00:00:00,Unnamed: 66,2025-08-23 00:00:00,Unnamed: 68,2025-08-24 00:00:00,Unnamed: 70,2025-08-25 00:00:00,Unnamed: 72,2025-08-26 00:00:00,Unnamed: 74,2025-08-27 00:00:00,Unnamed: 76,2025-08-28 00:00:00,Unnamed: 78,2025-08-29 00:00:00,Unnamed: 80,2025-08-30 00:00:00,Unnamed: 82,2025-08-31 00:00:00,Unnamed: 84,2025-09-01 00:00:00,Unnamed: 86,2025-09-02 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,45870,,45871,,45872,,45873,,45874,,45875,,45876,,45877,,45878,,45879,,45880,,45881,,45882,,45883,,45884,,45885,,45886,,45887,,45888,,45889,,45890,,45891,,45892,,45893,,45894,,45895,,45896,,45897,,45898,,45899,,45900,,45901,,45902
開單日,線別,製程,工單號,品號,品名,MO數量,領料需求日,上線日,完工日,料齊日,重工完工數量,實際產出,備註,板卡來源,PE驗證,這筆製程單機工時,這筆生產所用工時,測具數量,加班時數,重要訂單,綠色通道,頂階完工,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,生產數,工時,
,下拉式選項,下拉式選項,ZPPR004,ZPPR004,ZPPR004,ZPPR004,ZPPR004,人工手動,ZPPR004,ZPPR004,人工手動,ZPPR004,人工手動,人工手動,人工手動,PSOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,91R125070111,91-72137-2030,Express-ID7-D-1732TE-4DIMM,4,2025-07-15 00:00:00,2025-08-01 00:00:00,,2025-07-15 00:00:00,,,"(A)(5),LC-Karen,庫存改機,91-72137-7030>91-72137-2030,For訂單,依重工指導書執行,標準測試",,,10,,,,,,,4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,91R125070112,91-72137-8020,Express-ID7-D-1715TER-4DIMM,4,2025-07-15 00:00:00,2025-08-01 00:00:00,,2025-07-15 00:00:00,,,"(A)(5),LC-Karen,庫存改機,91-72137-301S>91-72137-8020,For訂單,依重工指導書執行,標準測試",,,10,,,,,,,4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BGA,59R125070121,59-72135-30B0,Express-CFR-E-2276ME,3,2025-07-15 00:00:00,2025-08-01 00:00:00,,2025-07-15 00:00:00,,,"(B*1)(5),LC-Karen,庫存改機 For訂單,59-72135-3130>59-72135-30B0,依重工指導書執行,標準測試",,,60,,,,,,,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,91R125070122,91-77105-B03E,I-Express-VR7-V3C18I-2x10GBASE-T Dev Kit,1,2025-07-15 00:00:00,2025-08-01 00:00:00,,2025-07-15 00:00:00,,,"(A)(1),COM-Cindy#8585,ECN-002947,依重工指導書執行,標準測試",,,10,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,55R125070113,55-49072-A010,"EGW3200 PWR board 90W,IDS",4,2025-07-17 00:00:00,2025-08-01 00:00:00,,2025-07-17 00:00:00,,,"(A)(5),LC-Peter,庫存改機,55-49072-B000>55-49072-A010 For訂單,依重工指導書執行",,,10,,,,,,,4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,59R125070158,59-72218-1710,cExpress-TL-i5-1145G7E-TPM,1,2025-07-23 00:00:00,2025-08-01 00:00:00,,2025-07-23 00:00:00,,,"(A)(1),COM-Cindy#8585,C4,更換版次標籤,Change egineering verision lable,PN-193582",,,10,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,59R125070166,59-A2052-0010,Triton S1 HTX w/ video output,1,2025-07-25 00:00:00,2025-08-04 00:00:00,,2025-07-24 00:00:00,,,"(A)(4),EV-Agnes #8837,替代料驗證,依重工指導書執行,不需測試,完工後入AN77倉BU領出",,,10,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,59R125070143,59-7C003-H010,EGX-MXM-T1000/SS GDDR/Align,14,2025-07-25 00:00:00,2025-08-01 00:00:00,,2025-07-22 00:00:00,,,"(A)(2),DEV-0055031 ,EV-Maggie#8874,庫存改機For 訂單,59-7C003-0040>H010,59由RD自行測試,只需換產品Label",,,10,,,,,,,14,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,55R125070141,55-77522-003E,Aristocrat Gen10 Carrier,1140,2025-07-24 00:00:00,2025-07-25 00:00:00,,2025-07-22 00:00:00,,,"(A)(4),MPM-Joanne,依重工指導書執行更換61-00000-120M>61-E0017-0090位置:U22",,,10,,,,,,,165,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,91R125070018,91-66946-002E,"B&R X20 Edge System (No 4G,TCM,TPM)",200,2025-06-18 00:00:00,2025-07-14 00:00:00,7/9*50 150pcs尚未投產 待確認,,,,"(A)(1),ECP-Erica#8719,DEV-0054916,DCN-064752+DCN-064544,需先進行91階拆解後再依重工指導書執行重工,標準測試",,,10,,,,,,,50,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一般重工,59R125070172,59-A1036-0010,EMP-520 CB for Ultra 5,23,2025-07-25 00:00:00,2025-08-04 00:00:00,2025-08-05 00:00:00,2025-07-24 00:00:00,,,"(A),(1)LC-Rory過C4,更換版次標籤PN-193723",,,10,,,,,,,,,,,,,23,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,246,2610,,,,,24,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
