Unnamed: 0,腳座採買,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,PC簽核日期,60品號,空IC,PN單,腳座到廠,請購單號,備註,,品號,空IC燒錄,廠內燒錄紀錄,燒錄A改B紀錄
,,60-65A75-F010,71-32144-00ZA-A0AU,,2025-06-03 00:00:00,,"完成,可轉廠內燒錄",,60-14102-F010,72-25643-09P0,,X
,2025-05-02 00:00:00,60-E0064-F050,72-00000-071M,PN-191121,2025-06-13 00:00:00,F014-240,"完成,可轉廠內燒錄",,60-38215-F010,72-25128-09P0,,X
,2025-03-14 00:00:00,60-72520-F060,71-32431-01Z0,PN-190031,2025-06-13 00:00:00,F014-326,"完成,可轉廠內燒錄",,60-65218-F010,72-25128-09P0,,X
,2025-05-16 00:00:00,60-72520-F080,71-32431-01Z0,PN-191777,2025-06-13 00:00:00,F014-326,"完成,可轉廠內燒錄",,60-65218-F020,72-25128-09P0,,X
,2025-04-08 00:00:00,60-E0064-F020,72-51245-09Z0,PN-190829,2025-07-01 00:00:00,,"完成,可轉廠內燒錄",,60-66558-B040,72-25645-09P0,X,X
,2025-04-29 00:00:00,60-72223-F010,76-02825-31Z0,PN-191504,2025-07-03 00:00:00,F014-331,7/7開單廠內試燒-76-02825-31Z0,,60-72135-B090,72-25673-09P0,,X
,2025-06-03 00:00:00,60-72223-F020,72-02520-09Z0,PN-192252,2025-06-12 00:00:00,F014-313,7/7開單廠內試燒-72-02520-09Z0,,60-72140-F020,76-02845-30R0,X,X
,2025-06-03 00:00:00,60-72223-F030,72-02520-09Z0,PN-192252,2025-06-12 00:00:00,F014-313,空IC同上,,60-72520-F060,71-32431-01Z0,X,X
,2025-06-11 00:00:00,60-E0064-F040,72-00000-069M,PN-192375,2025-07-01 00:00:00,F014-327,7/7開單廠內試燒-72-00000-069M,,60-77526-F010,72-25160-3910,,X
,,60-E0064-F060,C72-00000-068M,PN-191954,,,"客供腳座,待技轉",,60-7C006-F0B0,72-02516-6910,,X
,2025-06-19 00:00:00,60-65648-F030 ,71-74102-00L0,PN-192740,,F014-360,7/14岱鐠腳座到廠,,,,,
,,,72-02516-19Z0,,,F014-370,,,,,,
,2025-07-07 00:00:00,60-7C010-F010,76-02818-30R0,PN-193123,,F014-396,,,,,,
,2025-07-07 00:00:00,60-7C010-F020,,PN-193123,,F014-396,,,,,,
,2025-07-07 00:00:00,60-7C011-F010,,PN-193120,,F014-396,,,,,,
,2025-07-07 00:00:00,60-7C011-F020,,PN-193120,,F014-396,,,,,,
,2025-07-24 00:00:00,60-31903-F010,76-00192-30R0,PN-193692,,,,,,,,
